,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
n,Amom,"Amonitas, Amonita",,"Amon era filho de Ló, sobrinho de Abraão. Amon nasceu quando a filha de Ló o embebedou e dormiu com ele. Os descendentes de Amon se tornaram os amonitas que às vezes eram inimigos de Israel. Eles adoravam ídolos.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Amnon,,,"Amnon foi o primeiro filho do rei Davi. Depois que Amnon estuprou a filha de Davi, Tamar, o irmão dela, Absalão, matou Amnon. (O nome Amnon significa Fiel.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Ananias,,,Três homens foram chamados de Ananias no Novo Testamento: (1) um cristão em Jerusalém que morreu quando mentiu para Deus; (2) um cristão em Damasco que batizou Saulo; (3) e um sumo sacerdote em Jerusalém que se opôs aos apóstolos de Jesus. (O nome Ananaias significa o Senhor Responde.),,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,André,,,André era irmão de Pedro. Ambos se tornaram parte dos 12 apóstolos de Jesus. (O nome André significa viril.),,,GC 08-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,anjo,anjos,espírito mensageiro obediente a Deus (a quem Deus envia); pessoa menssageira de Deus/de cima/dos céus; alguém que vem do lugar onde Deus mora (G); ensel (K); ajudante de Deus (P); malaka (W do árabe),"Anjo é uma palavra grega que significa mensageiro. Quando Deus envia um espírito com uma mensagem para os humanos, pode aparecer como um ser humano e falar uma linguagem humana. Os espíritos malignos às vezes aparecem como anjos. A palavra anjo em grego descreve um trabalho ou função, não um tipo de criatura.","demônio, profeta",arabic ref.,"Angels remain not a kind of creature, but a job description.",,,,,,,,,,,,,,,,,,,,,,,,
t,ungir,"unge, ungido","derramar azeite de oliva em alguém para o tornar rei, chefe, verdadeiro chefe (G);
","Ungir significa nomear, escolher ou designar alguém publicamente derramando óleo sobre ele.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Apolo,,,"Apolo era um judeu de Alexandria, Egito. Como um homem que falava com eloquência, ele era competente em entender o significado das Escrituras Hebraicas, por isso era capaz de ensinar cristãos em cidades de língua grega.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,apóstolo,apóstolos,pessoa enviada; alguém a quem Cristo envia (G); corredor (W); pessoa para se enviar para um lugar (pessoa enviada em uma missão) (D); líder cristão escolido por Deus; primeiros líderes cristãos; aapostolo (R),"Apóstolo é uma palavra grega que significa 'enviado com autoridade''. Deus enviou Jesus ao mundo como seu Apóstolo. Jesus escolheu 12 apóstolos que enviou para falar a outros sobre ele. As igrejas também enviaram homens e mulheres, chamados apóstolos, para iniciar novas igrejas.","anjo, discípulo, profeta",,"Here is not the place to argue for or against Mattias, nor whether Paul be the real 12th apostle. Interestingly, in Acts 13, it was elders who sent apostles, and in 14 apostles who appointed elders. So it would seem problematic to argue for either kind of worker to have more authority than another. ",,,,,,,,,,,,,,,,,,,,,,,,
n,Áquila,,,"Áquila era marido de Priscila. Ambos eram judeus de Roma que ajudaram Paulo a plantar igrejas na Grécia e na Síria. (O nome Aquila significa ""águia"".)",Priscila,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,Areópago,,"lugar de reunião que é chamado Areópago (K);
ponto de encontro chamado Areópago (P);","Areópago é o nome de uma colina em Atenas, na Grécia. Professores e líderes da cidade costumavam se encontrar naquela colina. A reunião deles também foi chamada de Areópago.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Arca da Aliança,arca do testemunho,"caixa de acordo (W);
caixa de acordo (empate) (R);
caixa para aliança/promessa;
caixa de convênio;
baú sagrado; a caixa em que foi guardada a primeira escrita de poder (P);","A Arca da Aliança era uma caixa ou baú de madeira coberto com ouro. Dentro dela estavam as tábuas de pedra, sobre as quais Deus escreveu seus Dez Mandamentos quando fez uma aliança ou acordo com Israel.",,"I would rather not use present tense, as then people would assume that the box is to be seen somewhere. If the article proves to be true, maybe then ok. But as Jesus made a new covenant with us, arc of the Covenant should not be emphasized.  (Hilkka)","Just today, a news article appeared, reporting that the Ark of the Covenant may actually reside in the Church of Saint Mary at Axum, Ethiopia. Since the ark was never reported to have been destroyed, we can speak of it in the present tense.",,,,,,,,,,,,,,,,,,,,,,,,
n,Artaxerxes,,,"Artaxerxes foi o sexto rei do Império Persa 465-424 AC. Ele era neto de Dario e filho de Xerxes. (O nome Artaxerxes significa que ""Ele governa com a verdade."")",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Ártemis,,,"Ártemis, também chamada de Diana, é o nome de uma deusa grega e romana cujo ídolo muitas pessoas adoravam em uma província chamada Ásia.",Diana,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Asenate,,,"Duas mulheres foram nomeadas Asenate. Uma era a esposa egípcia de José, e a outra era filha de Dina, filha de Jacó.",,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Astarote,,,"Astarote era um ídolo esculpido usado para adorar uma deusa (deusa/divindade feminina) chamada Astarte em países pagãos. Alguns israelitas pecaram contra o Senhor fazendo ídolos de Astarote, que eles frequentemente colocam ao lado de ídolos de um deus (divindade masculina) chamado Baal.",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,assembléia,"reunião, assembléias, encontro",reunião de (G);,"Onde quer que os cristãos se reúnam para honrar a Jesus e mostrar amor uns aos outros, eles formam uma reunião temporária ou uma assembléia permanente.","santos, igreja",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Assíria,"Assírio, Assírios",,A Assíria era uma nação poderosa que invadiu o norte de Israel no ano 738 antes de Cristo. Os soldados assírios tratavam seus inimigos com crueldade.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Atalia,,,"Atalia era uma rainha má que tentou matar Joás e impedi-lo de ser rei. Ela era filha ou neta do rei Onri. Ela se casou com o rei Jeorão de Judá. Depois que ele morreu, ela tentou matar todos os filhos dele.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,version,,,1.0-Eng-2022-03   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,copyright ,license,,"WordLinks database designed and compiled by Robin Rempel.  Copyright 2022, Robin Rempel. Made available under a Creative Commons BY-NC-SA 4.0 International license.  
With acknowledgement and thanks to the following contributors of unpublished back translation (V-E) sample examples.  All used with permission or Fair Use for nonprofit, educational purposes.   
Sue Ness (Kenya) for Daasanach (D) back translations copyright 2019, SIL International.
Carl Harrison (Brazil) for Guajajara (G) back translations copyright 2019 SIL International.  Carl Harrison for Portuguese (P) back translations copyright 2019 Carl Harrison.
Robyn Davies (Papua New Guinea) for Ramoaaina (R) and Kandas (K) back translations copyright 2019, SIL International.  
Galen Currah (Senegal) for Wolof (W) back translations copyright 2019 WEC International and Galen Currah.  
Meaning notes and definitions copyright 2019 Galen Currah, ThD.  Used with permission.  
Special thanks to Hilkka Arminen, SIL translation consultant, for her expert review of the database and helpful editorial suggestions.     
Licensed under the terms of a Creative Commons Creative Commons BY-NC-SA 4.0 International license.        
",,"The © symbol was not utilized in this doc because it does not present properly when the xlsx doc is converted to a csv file and read in the SP software.  Instead, we are simply using the word ""copyright"" in the place of the © symbol.",,,,,,,,,,,,,,,,,,,,,,,,,
n,Atenas,Atenienses,,,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Baal ,"baalins, Ba'al",,Baal é o nome de um deus maligno cujo ídolo muitas nações costumavam adorar. Deus às vezes teve que punir os israelitas porque eles o abandonavam para adorar Baal.,"Ba'al, Belzebul",,"Ba'al is very well known in cuneiform texts, a kind of international deity with many local idols.",,,,,,,,,,,,,,,,,,,,,,,,
n,Babilônia,"Babilônio, Babiblônios, da Babilônia",,"Babilônia é o nome de uma cidade antiga, iniciada cerca de 3000 anos antes de Jesus. Os reis da Babilônia conquistaram muitos outros países. Quando o rei da Babilônia capturou Israel, ele levou muitos israelitas a morar na Babilônia por cerca de setenta anos. (Pedro chamou Roma de Babilônia, e o Livro do Apocalipse descreve um lugar muito maligno chamado Babilônia.) Babilônia era uma cidade cheia de pessoas que agiam muito mal e que desobedeciam e se rebelavam contra Deus. Portanto, às vezes é usado simbolicamente para se referir a um lugar maligno que Deus destruirá como destruiu a cidade histórica.",,,"Actually, 70 years serving the kings of Babylon, part of which was spent in captivity.",,,,,,,,,,,,,,,,,,,,,,,,
n,Balaão,,,"Balaão viveu cerca de 1500 anos antes de Jesus. Balaão era um profeta pagão que, para conseguir dinheiro, fingia falar em nome de Deus. Deus ordenou aos israelitas que matassem Balaão. Certa vez, Deus falou com Balaão por meio de sua jumenta.",,,"In that era, pagan prophets not only spoke for the gods, but were believed to have persuasive power over gods. Thus, Balaam sold his services as one who could manipulate Yahweh.",,,,,,,,,,,,,,,,,,,,,,,,
t,batizar ,"batismo, batizado, batiza, batista","passar (uma pessoa) sob/através da água (D);
imersão em água (W);
(para simbolizar a morte de uma vida antiga e o início de uma nova vida);
iniciar / iniciação;
fazer alguém banhar-se (tornando-se seguidor de Jesus, o Verdadeiro Chefe) (G);
batizados (K);","Batizar é uma palavra grega que significa lavar na água ou mergulhar na água. Judeus e alguns pagãos batizam como parte de sua adoração. João batizou os judeus que esperavam a vinda do Messias. Jesus ordenou aos seus apóstolos que fossem fazer discípulos, batizando-os e ensinando-os. Os cristãos batizam aqueles que colocam sua confiança em Jesus.",,,"A symbolic initiation in/with water that Jesus commanded for those who repent of their sins to become Christians. There are many ways in which to baptize. To dip under/ bury in water and bring back up/out to signify death to old life and resurrected to new life, a new identity. There are a series of baptisms in the Bible: God brought Noah through the water to start a new life after the judgment flood. God (via Moses) rescused Israel from their slavery in Egypt and brought them through the water of the big sea to start a new life trusting him in the wilderness. God (via Joshua) led the new generation of Israel through the Jordan River to begin a new life obeying God in a new land. John dipped people in the waters of the Jordan River who were repenting from their sins and getting prepared for Kingdom life. Jesus went down into the waters of the Jordan River to be baptized by John and came out the other side to go into the wilderness for 40 days to show that he was re-playing Israel as the new Israel but doing it rightly, faithfully, in full obedience to God. Jesus commanded people who believe in him to be put under water to show that they have died and been buried to their old life of rebelling against God and have been raised up to a new life with a new identity as God's children.",,,,,,,,,,,,,,,,,,,,,,,,
n,Barnabé,,,"Barnabé foi um dos primeiros cristãos em Jerusalém. Ele levou Paulo para conhecer os primeiros apóstolos e, mais tarde, levou Paulo a Antioquia (Síria) para fazer discípulos. Ele e Paulo também foram juntos em missão para iniciar novas igrejas de novos crentes. (O nome Barnabé significa Filho do Encorajamento).",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Baraque,,,"Baraque foi o quarto juiz em Israel, antes que eles tivessem reis. Baraque liderou os israelitas na guerra, derrotando seus inimigos.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,cevada,,"grão;
baali (R)","A cevada é um tipo de grão como o trigo. Os pobres costumavam fazer pão com cevada, porque a cevada custava menos que o trigo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Bateseba,"Bate-Seba, Betsabé",,"Bate-Seba era a bela esposa de Urias, um soldado do exército do rei Davi. Certa vez, ela tomou banho do lado de fora e o rei Davi a viu tomando banho. Depois de um tempo, eles dormiram juntos. Davi causou a morte de Urias em batalha e casou-se com Bate-Seba. Deus puniu Davi por seus pecados e causou a morte de seu primeiro filho com Bate-Seba. O filho de Bate-Seba, Salomão, tornou-se rei depois de Davi. (O nome Bate-Seba significa Filha da Promessa ou Juramento.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,urso,,animais selvagens … urso (R),"Um urso é um animal muito grande, forte e peludo que habita as florestas. Os ursos são perigosos, têm dentes afiados e garras longas, podem subir em árvores e podem matar pessoas. Os ursos comem quase tudo. Quando um urso adulto fica de pé sobre duas pernas, é mais alto que um homem.",leão,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Belzebu,,,Belzebu é outro nome para o deus maligno Baal. Algumas pessoas acreditam que ele é o chefe dos espíritos malignos.,Baal,,,,,,,,,,,,,,,,,,,,,,,,,,
t,cerveja,,"suco fermentado, qualquer bebida que cause embriaguez (G);",Uma bebida feita de grãos cozidos contendo uma pequena quantidade de álcool.,"vinho, bebida forte",,,,,,,,,,,,,,,,,,,,,,,,,,
t,sabedoria,sábio,"inteligência de Deus;
pensar o mesmo sobre as coisas que Deus faz (G);
conhecimento/sabedoria (R);
o saber bem das coisas (G);",Sabedoria é saber e fazer o que é verdadeiro e correto. Deus é todo sábio e dá sabedoria a todos que a pedem com fé. (Sabedoria também é um título cristão para Jesus.),"tolo, conhecimento",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Belsazar,,,"Belsazar foi o último rei da Babilônia. Ele morreu em 539 a.C., quando os persas conquistaram a Babilônia. (O nome Belsazar significa Bel preserva o rei.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Benjamim,,,"Benjamin viveu cerca de 2000 anos antes de Jesus. Benjamim era o caçula dos doze filhos de Jacó. Assim, Benjamin foi o ancestral de uma das doze tribos de Israel.",,,The term Jew (Judean) does not appear in the Hebrew Scripture until the time of the Babylonian captivity.,,,,,,,,,,,,,,,,,,,,,,,,
n,Betel,,,"Jacó encontrou Deus perto de uma cidade chamada Luz, então ele mudou o nome da cidade para Betel, que significa Casa ou Templo de Deus.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Belém,,,"Várias cidades receberam o nome de Belém. A que ficava perto de Jerusalém também era chamada de Cidade de Davi. Miquéias 5:2 previu que um grande líder viria de Belém, e Jesus nasceu em Belém. (O nome Belém significa Casa do Pão.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Bíblia,,"a Palavra de Deus (G); Papel de Deus (W)
","Bíblia significa uma biblioteca de livros, ou muitos livros (reunidos). A Bíblia Sagrada contém livros do Antigo e do Novo Testamento, escritos por muitas pessoas diferentes ao longo de milhares de anos, mas todos coerentemente inspirados pelo Espírito de Deus.","rolo, livro",,GC 08-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,abençoar,"benção, abençoado, abençoa, abençoado","(1) invocar o bem de Deus para (alguém);
(2) vindo/caindo (vindo em auxílio/ajuda/apoio de alguém ou mostrando graça a alguém);
falar bem / falar bem de (G); abençoado/afortunado (R); barke (W do árabe)","Abençoar significa (1) falar palavras gentis para os outros, (2) desejar que o bem lhes aconteça, (3) fazer o bem a eles ou (4) dar coisas boas a eles. Deus nos abençoa, e nós abençoamos os outros.",amaldiçoar,arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,sangue,,"sangue (G);
","O sangue pode ter um significado literal, mas muitas vezes tem um significado figurativo ou estendido. Sangue pode significar (a) o líquido avermelhado em corpos vivos, (b) morte violenta ou assassinato, ou (c) a morte de Jesus na cruz. 'Sangue nas mãos' significa culpado de assassinato.","morte, sacrifício",,Blood remains a powerful symbol of Jesus' sacrificial death. Translators must decide if the symbol should be retained or replaced with its meaning.,,,,,,,,,,,,,,,,,,,,,,,,
t,barco,"bote, canoa","kanu (transliterado de canoa) (G);
",Um barco é um termo genérico para um veículo aquático flutuante usado para transportar pessoas e cargas. A maioria dos barcos são feitos de madeira. Um navio é um barco muito grande. Um bote é um pequeno barco carregado em um grande barco ou puxado atrás de um grande navio.,navio,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Boaz,,,"Boaz era um rico fazendeiro israelita que permitia que os pobres colhessem os grãos que seus colhedores deixavam para trás. Ele era parente do falecido marido de Noemi, então casou-se com Rute, a nora viúva de Noemi. Assim, ele se tornou ancestral do rei Davi e de Jesus.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,livro,livros,"papel (G, W);
","Livros são folhas ou folhas de papel/pergaminho presas juntas em uma borda. Os pergaminhos são rolos de uma longa folha de papel/pele de animal/papiro que os leitores devem desenrolar. Livro pode significar uma parte da Bíblia que tem um nome ou título, como o Livro de Isaías. O livro também é um símbolo da memória de Deus.","rolo, Bíblia",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,pão,,"aquilo que a gente come / nossa comida (tapioca, panqueca) (G);
sago (PNG);","O pão é um tipo de alimento feito de grãos moídos, cozidos até secar, que podem conter fermento para torná-lo macio. Se o pão não contiver fermento, tem uma textura dura ou crocante. O pão é um alimento diário em alguns países. Assim como as pessoas em muitos países não podem viver sem comer pão (o pão é o alimento básico), então Jesus [é] chamado de "" o Pão da Vida "",
O maná era um tipo especial de pão do céu.",maná,,"GC 15-Feb-2019
RR added some content.  OK?

GC 23-Feb-2019
A little wordy? Maybe drop the part about Bethlehem and include:

... Jesus was called the ""Bread of Life,"" because he gives eternal life to those who trust in him.

Manna has its own entry.",,,,,,,,,,,,,,,,,,,,,,,,
t,enxofre,,salfa (K),O enxofre é um material ardente como a lava de um vulcão. Deus faz com que o enxofre caia do céu no chão.,enxofre,like lava from volcano,GC 29-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,bronze,latão,"metal avermelhado rocha dura) (G);
","Bronze e latão são metais duros e brilhantes feitos da mistura de cobre, zinco e estanho. Nos tempos bíblicos, algumas ferramentas, armas e joias eram feitas de bronze ou latão.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,construir,"construtor, construiu",fazer (G);,"Construir algo significa torná-lo maior ou melhor. Construir uma casa significa fazer uma nova, peça por peça. Construir ou edificar pessoas significa torná-las mais fortes.","criar, formar, esculpir",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,César,,,César era o título que os romanos davam aos seus reis. Cada César também era imperador ou rei supremo de todos os países conquistados por Roma. Todo rei sobre o povo de Roma era chamado de César.,"rei, Faraó, Imperador",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Cesaréia,,,"Haviam duas cidades chamadas Cesaréia. Uma delas foi construída pelos romanos, na costa marítima ao norte de Jerusalém, em homenagem ao nome do imperador romano César. (O nome Cesaréia significa Cidade do Rei.)",,,GC 08-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Caim,,,"Cerca de 4000 anos antes de Jesus, os dois primeiros filhos de Adão e Eva chamavam-se Caim e Abel. Caim não honrou a Deus, mas Abel sim. Depois que Deus reprovou Caim, Caim ficou com raiva e matou seu irmão Abel.","Abel, Adão, Eva",,Same note as for Abel.,,,,,,,,,,,,,,,,,,,,,,,,
n,Calebe,,,Caleb foi um dos doze espias que Moisés enviou para observar Canaã. Ele e Josué foram os únicos dois espiões que acreditavam que os israelitas poderiam conquistar os cananeus. Deus recompensou esses dois homens por sua fé e bravura na batalha.,,,"Caleb means dog, that is, faithful companion.",,,,,,,,,,,,,,,,,,,,,,,,
t,camelo,camelos,"kamel-animal; kamel (K); gimel (W from Arabic)
",Camelos são mais altos que cavalos e burros. As pessoas podem andar de camelo. Camelos também carregam cargas. Pêlo de camelo é usado para fazer tecidos ásperos.,"jumento, cavalo",arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
n,Canaã,"Cananita, Cananeus",,"Canaã era o nome da terra que Deus prometeu que daria ao povo de Israel para ser sua pátria. Grande parte de Canaã tornou-se a terra de Israel. Hoje, parte de Canaã é chamada de Palestina.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,sárdio,,jóia; konilian (K)' pedra preciosa (W),Sárdio é uma espécie de pedra rara de cor avermelhada.,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,esculpir,"escultor, esculpe, esculpiu","cortar - cortar madeira cuidadosamente para fazer algo (G);
",Esculpir significa cortar algo com ferramentas na forma de outra coisa. Os homens esculpem ídolos de pedra ou madeira.,"criar, construir",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,César,"Rei, Faraó, Imperador",,César era um nome ou título que os romanos davam aos seus mais altos líderes ou reis/imperadores. Os egípcios nomearam seus altos líderes Faraó.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Cesareia,,,"Cesaréia era uma vila ou cidade. Romanos e outros batizaram algumas cidades de Cesaréia como forma de homenagear César, o imperador romano//rei",,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Centurião,Centuriões,"chefe de soldados (G); líder de batalha (W)
","Um centurião era um oficial militar romano que comandava até 100 soldados. Cento ou século significa ""100"" em alguns idiomas.",,,,,,,,,,,,,,,,,,,,,,,,,,,
