,term,Alternate forms and synonyms. (separate w commas),Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts
n,అంద్రెయ,,,అంద్రెయ పేతురుకు సోదరుడు. వారిద్దరూ యేసు యొక్క 12 మంది అపొస్తలులలో భాగమయ్యారు. (అంద్రెయ అనే పేరుకు 'పురుష లక్షణాలు కలవాడు' అని అర్థం.),,,GC 08-Feb-2019,
t,ఏంజెల్,దేవదూతలు,దేవునికి విధేయుడైన దూత ఆత్మ (దేవుడు పంపినవాడు); దేవుడు/పైన/స్వర్గం నుండి వచ్చిన కాలు/దూత వ్యక్తి; దేవుని నివాస స్థలం నుండి వచ్చినవాడు (G); ఎన్సెల్ (K); దేవుని సహాయకుడు (P); మలకా (అరబిక్ నుండి W),"ఏంజెల్ అనేది ఒక గ్రీకు పదం, దీని అర్థం దూత. దేవుడు మానవుల కోసం ఒక సందేశంతో ఒక ఆత్మను పంపినప్పుడు, అది మానవ రూపంలో కనిపించి, మానవ భాషలో మాట్లాడగలదు. దుష్ట ఆత్మలు కొన్నిసార్లు దేవదూతల రూపంలో కనిపిస్తాయి. గ్రీకు భాషలో 'ఏంజెల్' అనే పదం ఒక రకమైన జీవిని కాకుండా, ఒక పనిని లేదా పాత్రను వివరిస్తుంది.","రాక్షసుడు, ప్రవక్త",arabic ref.,"Angels remain not a kind of creature, but a job description.",
t,అభిషేకం,"అభిషేకాలు, అభిషేకం, అభిషేకం"," ఒకరిని రాజుగా, అధిపతిగా, నిజమైన అధిపతిగా (జి) చేయడానికి ఆలివ్ నూనె పోయడం;","అభిషేకం చేయడం అంటే, ఒక వ్యక్తిపై నూనె పోయడం ద్వారా అతడిని బహిరంగంగా నియమించడం, ఎన్నుకోవడం లేదా నామినేట్ చేయడం.",,,,
n,అపొల్లోస్,,,"అపొల్లోస్ ఐగుప్తులోని అలెగ్జాండ్రియాకు చెందిన ఒక యూదుడు. అతను అనర్గళంగా మాట్లాడేవాడు, హెబ్రీ గ్రంథాల అర్థాన్ని గ్రహించడంలో సమర్థుడు, కాబట్టి గ్రీకు భాష మాట్లాడే నగరాలలో క్రైస్తవులకు బోధించగలిగాడు.",,,,GC 7/7/2019
t,అపొస్తలుడు,అపొస్తలులు,పంపిన వ్యక్తి/వ్యక్తి; క్రీస్తు పంపిన వ్యక్తి (G); పరుగు పందెం (W); ఒక ప్రదేశం నుండి పంపే వ్యక్తి (ఒక మిషన్‌పై పంపబడిన వ్యక్తి) (D); దేవుడు ఎన్నుకున్న క్రైస్తవ నాయకుడు; మొదటి క్రైస్తవ నాయకులు; అపోస్టోలో (R),"అపొస్తలుడు అనేది ఒక గ్రీకు పదం, దీని అర్థం 'అధికారంతో పంపబడినవాడు'. దేవుడు యేసును తన అపొస్తలునిగా ఈ లోకంలోకి పంపాడు. యేసు తన గురించి ఇతరులకు చెప్పడానికి 12 మంది అపొస్తలులను ఎంచుకున్నాడు. సంఘాలు కూడా కొత్త సంఘాలను స్థాపించడానికి అపొస్తలులు అని పిలువబడే స్త్రీపురుషులను పంపాయి.","దేవదూత, శిష్యుడు, ప్రవక్త",,"Here is not the place to argue for or against Mattias, nor whether Paul be the real 12th apostle. Interestingly, in Acts 13, it was elders who sent apostles, and in 14 apostles who appointed elders. So it would seem problematic to argue for either kind of worker to have more authority than another. ",
n,అకుల,,,"అకుల ప్రిస్కిల్లా భర్త. వారు రోమాకు చెందిన యూదులు, పౌలుకు గ్రీసు మరియు సిరియాలో సంఘాలను స్థాపించడంలో సహాయం చేశారు. (అకుల అనే పేరుకు 'గద్ద' అని అర్థం.)",ప్రిసిల్లా,,,GC 7/7/2019
t,అరీయోపగు,,అరియోపగస్ (K) అని పిలువబడే సమావేశ స్థలం; అరియోపగస్ (P) అని పిలువబడే సమావేశ స్థలం;,అరీయోపగు అనేది గ్రీస్‌లోని ఏథెన్స్‌లో ఉన్న ఒక కొండ పేరు. ఉపాధ్యాయులు మరియు నగర నాయకులు ఆ కొండపై సమావేశమయ్యేవారు. వారి సమావేశాన్ని కూడా అరీయోపాగస్ అని పిలిచేవారు.,,,,
t,మందసం,ఒడంబడిక పెట్టె,ఒప్పందం పెట్టె (W); ఒప్పందం పెట్టె (కట్టడం) (R); నిబంధన/వాగ్దానం కోసం పెట్టె; నిబంధన పెట్టె; పవిత్ర పెట్టె; శక్తి యొక్క మొదటి రచనను ఉంచిన పెట్టె (P);,"నిబంధన మందసం అనేది బంగారంతో కప్పబడిన ఒక చెక్క పెట్టె లేదా మందసం. దాని లోపల రాతి పలకలు ఉండేవి, వాటిపై దేవుడు ఇశ్రాయేలుతో నిబంధన లేదా ఒప్పందం చేసుకున్నప్పుడు తన పది ఆజ్ఞలను వ్రాశాడు.",,"I would rather not use present tense, as then people would assume that the box is to be seen somewhere. If the article proves to be true, maybe then ok. But as Jesus made a new covenant with us, arc of the Covenant should not be emphasized.  (Hilkka)","Just today, a news article appeared, reporting that the Ark of the Covenant may actually reside in the Church of Saint Mary at Axum, Ethiopia. Since the ark was never reported to have been destroyed, we can speak of it in the present tense.",
n,అర్తహషస్త,,,అర్తహషస్త క్రీ.పూ. 465-424 మధ్యకాలంలో పర్షియన్ సామ్రాజ్యానికి ఆరవ రాజు. అతను డారియస్ మనవడు మరియు జెర్క్సెస్ కుమారుడు. (అర్తహషస్త అనే పేరుకు 'అతను సత్యంతో పరిపాలిస్తాడు' అని అర్థం.),,,GC 08-Mar-2019,
n,అర్తెమి,,,"అర్తెమి, డైయానా అని కూడా పిలువబడే ఈమె, గ్రీకు మరియు రోమన్ దేవత పేరు. ఆసియా అనే ప్రాంతంలో చాలా మంది ప్రజలు ఈమె విగ్రహాన్ని పూజించేవారు.",డయానా,,,
n,ఆసెనతు,,,"ఆసెనతు అనే పేరుతో ఇద్దరు స్త్రీలు ఉన్నారు. వారిలో ఒకరు యోసేపు యొక్క ఐగుప్తు భార్య, మరొకరు యాకోబు కుమార్తె దీనా యొక్క కుమార్తె.",,,GC 23-Feb-2019,
n,అష్టోరెతు,,,అష్టోరెతు అనేది అన్యమత దేశాలలో అస్టార్ట్ అనే దేవతను పూజించడానికి ఉపయోగించే ఒక చెక్కబడిన విగ్రహం. కొంతమంది ఇశ్రాయేలీయులు అష్టోరెతువిగ్రహాలను తయారు చేయడం ద్వారా యెహోవాకు విరోధంగా పాపం చేశారు; వారు తరచుగా ఈ విగ్రహాలను బయలు అనే దేవత విగ్రహాల పక్కన పెట్టేవారు.,,,GC 19-Feb-2019,
t,అసెంబ్లీ,"సమావేశాలు, సమావేశాలు, సమావేశపరచడం, సమావేశపరచడం", (G) కలిసి సేకరించడం;,"క్రైస్తవులు యేసును గౌరవించడానికి మరియు ఒకరిపట్ల ఒకరు ప్రేమను చూపించుకోవడానికి ఎక్కడ కలిసినా, వారు తాత్కాలిక సమూహంగా లేదా శాశ్వత సంఘంగా ఏర్పడతారు.","సాధువులు, చర్చి",,GC 15-Feb-2019,
n,అస్సిరియా,"అస్సిరియన్లు, అస్సిరియన్లు",,అస్సిరియా క్రీస్తుపూర్వం 738వ సంవత్సరంలో ఉత్తర ఇజ్రాయెల్‌పై దండెత్తిన ఒక శక్తివంతమైన దేశం. అస్సిరియా సైనికులు తమ శత్రువులను క్రూరంగా హింసించేవారు.,,,GC 07-Feb-19,
n,అథాలియా,,,"అథాలియా ఒక దుర్మార్గపు రాణి. ఆమె యోవాషును చంపి, అతడు రాజు కాకుండా ఆపడానికి ప్రయత్నించింది. ఆమె ఓమ్రీ రాజు కుమార్తె లేదా మనవరాలు. ఆమె యూదా రాజైన యెహోరామును వివాహం చేసుకుంది. అతను మరణించిన తర్వాత, ఆమె అతని కుమారులందరినీ హత్య చేయడానికి ప్రయత్నించింది.",,,GC 07-Feb-19,
t,వెర్షన్,,, 1.0-ఇంగ్లీష్-2022-03,,,,
t,కాఫీరైట్,లైసెన్స్,,"రాబిన్ రెంపెల్ రూపొందించిన మరియు సంకలనం చేసిన WordLinks డేటాబేస్. కాపీరైట్ 2022, రాబిన్ రెంపెల్. క్రియేటివ్ కామన్స్ BY-NC-SA 4.0 ఇంటర్నేషనల్ లైసెన్స్ కింద అందుబాటులో ఉంచబడింది. ప్రచురించని బ్యాక్ ట్రాన్స్‌లేషన్ (VE) నమూనా ఉదాహరణల కింది సహకారులకు గుర్తింపు మరియు కృతజ్ఞతలు. అన్నీ అనుమతితో లేదా లాభాపేక్షలేని, విద్యా ప్రయోజనాల కోసం న్యాయమైన ఉపయోగంతో ఉపయోగించబడ్డాయి. దాసనాచ్ (D) కోసం స్యూ నెస్ (కెన్యా) బ్యాక్ ట్రాన్స్‌లేషన్స్ కాపీరైట్ 2019, SIL ఇంటర్నేషనల్. గుజజారా (G) కోసం కార్ల్ హారిసన్ (బ్రెజిల్) బ్యాక్ ట్రాన్స్‌లేషన్స్ కాపీరైట్ 2019 SIL ఇంటర్నేషనల్. పోర్చుగీస్ (P) కోసం కార్ల్ హారిసన్ బ్యాక్ ట్రాన్స్‌లేషన్స్ కాపీరైట్ 2019 కార్ల్ హారిసన్. రామోయినా (R) మరియు కందాస్ (K) కోసం రాబిన్ డేవిస్ (పాపువా న్యూ గినియా) బ్యాక్ ట్రాన్స్‌లేషన్స్ కాపీరైట్ 2019, SIL ఇంటర్నేషనల్. వోలోఫ్ (W) కోసం గాలెన్ కుర్రా (సెనెగల్) బ్యాక్ ట్రాన్స్‌లేషన్స్ కాపీరైట్ 2019 WEC ఇంటర్నేషనల్ మరియు గాలెన్ కుర్రా. అర్థ గమనికలు మరియు నిర్వచనాల కాపీరైట్ 2019 గాలెన్ కుర్రా, ThD. అనుమతితో ఉపయోగించబడింది. డేటాబేస్ యొక్క నిపుణుల సమీక్ష మరియు సహాయకరమైన సంపాదకీయ సూచనల కోసం SIL అనువాద సలహాదారు హిల్కా అర్మినెన్ కు ప్రత్యేక ధన్యవాదాలు. క్రియేటివ్ కామన్స్ క్రియేటివ్ కామన్స్ BY-NC-SA 4.0 అంతర్జాతీయ లైసెన్స్ నిబంధనల ప్రకారం లైసెన్స్ పొందింది.",,"The © symbol was not utilized in this doc because it does not present properly when the xlsx doc is converted to a csv file and read in the SP software.  Instead, we are simply using the word 'copyright' in the place of the © symbol.",,
n,ఏథెన్స్,ఏథెనియన్లు,,,,,,GC 7/7/2019
n,బయలు,"బాల్స్, బాల్",,"బయలు అనేది ఒక దుష్ట దేవత పేరు, దాని విగ్రహాన్ని అనేక దేశాల ప్రజలు పూజించేవారు. ఇశ్రాయేలీయులు దేవుడిని విడిచిపెట్టి బయలును పూజించినప్పుడు, దేవుడు కొన్నిసార్లు వారిని శిక్షించవలసి వచ్చేది.","బాల్, బీల్జెబుల్",,"Ba'al is very well known in cuneiform texts, a kind of international deity with many local idols.",
n,బబులోను,"బాబిలోనియన్లు, బాబిలోనియన్లు, బాబిలోన్లు",,"బబులోను అనేది ఒక పురాతన నగరం పేరు, ఇది యేసుక్రీస్తుకు దాదాపు 3000 సంవత్సరాల ముందు ప్రారంభమైంది. బాబిలోన్ రాజులు అనేక ఇతర దేశాలను జయించారు. బబులోను రాజు ఇశ్రాయేలును స్వాధీనం చేసుకున్నప్పుడు, అతను చాలా మంది ఇశ్రాయేలీయులను దాదాపు డెబ్బై సంవత్సరాలు బబులోనులో నివసించడానికి నడిపించాడు. (పేతురు రోమ్‌ను బబులోను అని పిలిచాడు మరియు ప్రకటన పుస్తకం బబులోను అని పిలువబడే చాలా దుష్ట స్థలాన్ని వివరిస్తుంది.) బబులోను చాలా చెడుగా ప్రవర్తించిన మరియు దేవునికి అవిధేయత చూపిన మరియు తిరుగుబాటు చేసిన వ్యక్తులతో నిండిన నగరం. అందువల్ల, ఇది కొన్నిసార్లు చారిత్రాత్మక నగరాన్ని నాశనం చేసినట్లుగా దేవుడు నాశనం చేసే దుష్ట స్థలాన్ని సూచించడానికి ప్రతీకాత్మకంగా ఉపయోగించబడుతుంది.",,,"Actually, 70 years serving the kings of Babylon, part of which was spent in captivity.",
n,బిలాము,,,"బాలాము యేసుకు సుమారు 1500 సంవత్సరాల ముందు జీవించాడు. బాలాము ఒక అన్యమత ప్రవక్త, అతను డబ్బు కోసం దేవుని తరపున మాట్లాడుతున్నట్లు నటించాడు. బాలామును చంపమని దేవుడు ఇశ్రాయేలీయులను ఆజ్ఞాపించాడు. ఒకసారి దేవుడు తన గాడిద ద్వారా బాలాముతో మాట్లాడాడు.",,,"In that era, pagan prophets not only spoke for the gods, but were believed to have persuasive power over gods. Thus, Balaam sold his services as one who could manipulate Yahweh.",
t,బాప్తిస్మం,"బాప్టిజం, బాప్తిసం, బాప్టిజం ఇచ్చేవాడు, బాప్టిజం ఇచ్చేవాడు",(ఒక వ్యక్తిని) నీటి కిందకు/గుండా పంపించడం (D); నీటిలో ముంచడం (W); (పాత జీవితానికి మరణాన్ని మరియు కొత్త జీవిత ప్రారంభాన్ని సూచించడం); ప్రారంభించడం / ప్రారంభించడం; తనను తాను స్నానం చేయించుకోవడానికి కారణం (నిజమైన అధిపతి అయిన యేసు అనుచరులుగా మారడం)(G); బాప్టైస్ (K);,"బాప్తిస్మం అనేది ఒక గ్రీకు పదం, దీని అర్థం నీటిలో కడగడం లేదా నీటిలో ముంచడం. యూదులు మరియు కొంతమంది అన్యమతస్థులు తమ ఆరాధనలో భాగంగా బాప్తిస్మం ఇస్తారు. యోహాను, మెస్సయ్య రాక కోసం ఎదురుచూస్తున్న యూదులకు బాప్తిస్మం ఇచ్చాడు. యేసు తన అపొస్తలులను వెళ్లి, బాప్తిస్మం ఇస్తూ మరియు బోధిస్తూ శిష్యులనుగా చేయమని ఆజ్ఞాపించాడు. క్రీస్తుపై నమ్మకం ఉంచిన వారికి క్రైస్తవులు బాప్తిస్మం ఇస్తారు.",,,"A symbolic initiation in/with water that Jesus commanded for those who repent of their sins to become Christians. There are many ways in which to baptize. To dip under/ bury in water and bring back up/out to signify death to old life and resurrected to new life, a new identity. There are a series of baptisms in the Bible: God brought Noah through the water to start a new life after the judgment flood. God (via Moses) rescused Israel from their slavery in Egypt and brought them through the water of the big sea to start a new life trusting him in the wilderness. God (via Joshua) led the new generation of Israel through the Jordan River to begin a new life obeying God in a new land. John dipped people in the waters of the Jordan River who were repenting from their sins and getting prepared for Kingdom life. Jesus went down into the waters of the Jordan River to be baptized by John and came out the other side to go into the wilderness for 40 days to show that he was re-playing Israel as the new Israel but doing it rightly, faithfully, in full obedience to God. Jesus commanded people who believe in him to be put under water to show that they have died and been buried to their old life of rebelling against God and have been raised up to a new life with a new identity as God's children.",
n,Barabbas,,,"Barnabas was one of the first Christians at Jerusalem. He brought Paul to meet the first apostles, and he later brought Paul to Antioch (Syria) to make disciples. He and Paul also went together on mission to start new churches of new believers. (The name Barnabas means Son of Encouragement).",,,GC 19-Feb-2019,
n,బారాకు,,,"ఇశ్రాయేలీయులకు రాజులు ఉండకముందు, బారాకు వారి నాలుగవ న్యాయాధిపతిగా ఉన్నాడు. బారాకు ఇశ్రాయేలీయులను యుద్ధంలో నడిపించి, వారి శత్రువులను ఓడించాడు.",,,,
t,బార్లీ,,ధాన్యం; బాలి (R),బార్లీ అనేది గోధుమల వంటి ఒక రకమైన ధాన్యం. బార్లీ ధర గోధుమల కంటే తక్కువగా ఉండటం వల్ల పేద ప్రజలు బార్లీతో రొట్టెలు చేసుకునేవారు.,,,,
