, term -Hindi,Alternate forms and synonyms.- Hindi,Other language examples (back translations),Meaning notes. Definitions. - Hindi,Related (but different) terms - Hindi,,,,,,,,,,,,,,,,,,,,,,,
n,?,,,? ?? ????? ??? ?? ?? ???????? ??????? ?? ???? ???? ???? ????? ?? ??? ??? ?? ? ???????? ?? ????? ?? ?? ????? ???? ????? ???????? ???? ?? ? ?? ?????? ???? ?? ???????? ?? ?????? ?? ??? ??? ??? ???? ???? ??? ??? ???? ?,,,,,,,,,,,,,,,,,,,,,,,,
n,??????,"???????, ??????????, ?????? ??????? ",,?????? ??????? ?? ????? ??? ?? ???? ??? ?????? ?? ???? ?? ??? ?? ??? ?? ???? ?? ??? ???? ????? ?? ???? ??? ????? ?????? ?? ???? ??????? ?? ??? ?? ???-??? ??????? ?? ????? ??? ?? ?????????? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
n,??????,,,"?????? ???? ???? ?? ???? ????? ??? ?????? ?? ???? ?? ???? ????? ?? ??? ???????? ????, ???? ??? ???? ??? ??????? ?? ?????? ?? ??? ????? (?????? ??? ?? ???? ?? ???????)",,,,,,,,,,,,,,,,,,,,,,,,
n,??????? ,,,"?? ???? ??? ??? ?????????? ?? ??? ??????? ??: (1) ??????? ??? ?? ?????  ?? ????? ?? ??? ????? ?? ???? ?? ???; (2) ?????? ??? ?? ????? ????? ???? ?? ???????? ????; (3) ?? ??????? ??? ?? ??????? ????? ???? ?? ????????? ?? ????? ???? ??? (???????  ??? ?? ???? ?? ""????? ????? ???? ??? "")",,,,,,,,,,,,,,,,,,,,,,,,
n,??????????,,,?????????? ????  ?? ??? ??  ? ?? ????? ???? ?? 12 ????????? ?? ?????? ?? ??? (?????????? ??? ?? ???? ??????? ?? ?),,,,,,,,,,,,,,,,,,,,,,,,
n,????????,,,"???????? ????? ?? ?????????????? ?? ?? ????? ????? ?? ????????? ??? ????? ????  ??????? ?? ??? ??? ???? ???? ?? ? ?? ??????? ??????????? ?? ???? ????? ??? ????? ??, ????? ?????? ???? ????? ??? ????? ?? ?????? ??? ????? ?? ?",,,,,,,,,,,,,,,,,,,,,,,,
n,???????,,,"???????, ???????? ?? ??? ?? ? ?? ??? ?? ????? ?? ????????? ????? ?? ?????? ??? ???? ??????? ???? ??? ????? ?? ??? ??? (??????? ??? ?? ???? ?? ""?????""?)",???????? ,,,,,,,,,,,,,,,,,,,,,,,
n,??????????,,, 465-424 ??? ????? ??? ?????????? ?????? ????????? ?? ??? ???? ?? ? ?? ???? ?? ???? ?? ??????? ?? ????? ??? (?????????? ??? ?? ???? ?? ?? ???? ?? ??? ???? ???? ???),,,,,,,,,,,,,,,,,,,,,,,,
n,???????,,,"???????,???? ????? ?? ??? ???? ??, ???????? ?? ???? ???? ?? ??? ?? ????? ?????? ?? ????? ???? ?????? ??? ???? ?? ??? ????? ?? ?",?????,,,,,,,,,,,,,,,,,,,,,,,
n,???? ,,,"???? ??? ?? ?? ????????? ??? ???? ??? ? ?? ????? ?? ?????? ????? ??, ?? ????? ????? ?? ???? ???? ?? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,???????? ,,,"???????? ?? ???? ??? ?????? ?? ????? ????? ???????? ????? ??? ???????? ???? ???? (????? ?????/?????) ?? ???? ???? ?? ??? ???? ???? ??? ??? ??????????? ?? ???????? ?? ????????? ????? ????? ?? ??????? ??? ????, ??????? ?? ????? ??? ???? ????? (????? ?????) ?? ????????? ?? ??? ??????? ???? ?? ?",,,,,,,,,,,,,,,,,,,,,,,,
n,?????? ,????????,,?????? ?? ????????? ??????? ?? ????? ??? ????? 738 ??? ?????? ??????? ?? ?????? ???? ?? ? ?????? ?? ??????? ?? ???? ??????? ?? ??? ???????????? ??????? ???? ?,,,,,,,,,,,,,,,,,,,,,,,,
n,,,,"??????? ?? ????? ???? ?? ????? ???? ?? ????? ?? ??? ???? ???? ?? ????? ?? ????? ?? ??? ?? ???? ???? ?? ???? ?? ???? ??? ???? ????? ?? ???? ?????? ?? ????? ????? ???? ???? ?? ???, ???? ???? ??? ????? ?? ????? ???? ?? ????? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,??????,"???????,????????",,,,,,,,,,,,,,,,,,,,,,,,,,
n,??? ,,,"??? ?? ????? ????? ?? ??? ?? ????? ?????? ?? ???? ?? ??????? ???? ??? ???-??? ???????? ?? ??????????? ?? ????? ???? ????? ??, ??????? ?? ??? ?? ???? ???? ?? ??? ???????? ?? ???? ???? ???",???????,,,,,,,,,,,,,,,,,,,,,,,
n,??????? ,"????????, ??????? ?? ??? ",,"??????? ?? ??????? ??? ?? ??? ??, ????? ??????? ????? ???? ???? ?? ???? 3000 ???? ???? ??? ?? ? ??????? ?? ?????? ?? ?? ???? ????? ?? ???? ??????? ?? ? ?? ??????? ?? ???? ?? ??????? ?? ?????? ?? ????, ?? ???? ?? ??????????? ?? ???? ????? ?????? ?? ??????? ??? ???? ?? ??? ????? ??? ?? ?? ??? (???? ?? ??? ?? ??????? ??? ??,  ?? ???????????? ?? ?????? ??? ??????? ???? ?? ???? ???? ??? ?? ????? ???? ??? ???) ??????? ?? ??? ??? ?? ?? ??? ????? ?? ??? ??? ?? ?? ???? ???? ??? ???? ?? ?? ????????? ???????? ?? ?????? ?? ?? ???? ????? ??????? ????? ?????, ??? ???-??? ??????????? ??? ?? ?? ???? ????? ?? ?????? ??? ????? ???? ???? ?? ???? ???????? ???? ?? ???? ???? ???? ???????? ??? ?? ???? ?? ???? ?? ?",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,  ????? ????? ???? ???? ?? ???? 1500 ???? ???? ????? ??? ? ????? ?? ?????? ???? ???? ???? ??????????? ?? ?? ???? ?? ??? ??? ???? ?? ? ???? ???????? ?? ??? ????? ??  ???? ????? ???????? ?? ??????????? ?? ????? ?? ??? ????? ?? ???? ????? ?? ??? ???????? ?? ????? ?? ???? ??? ?? ?????? ??? ???  ,,,,,,,,,,,,,,,,,,,,,,,,
n,??????,,,"?????? ??????? ?? ????  ????? ??? ?? ?? ??? ?? ?????  ?? ???? ????????? ?? ??????? ?? ??? ????, ?? ??? ??? ?? ?????  ?? ????? ????? ?? ??? ????????? (??????) ?? ???? ?? ?? ????? ?? ??????????? ?? ?? ??????? ???? ???? ?? ???? ?? ?? ?? ??? ?? ? (?????? ??? ?? ???? ?? ?????????? ?? ?????) ?",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,??????? ??? ???? ???? ?? ???? ?????  ???? ?????  ?? ? ????? ?? ????? ??? ??????????? ?? ??????? ???? ?? ???? ??????? ?? ????? ?,,,,,,,,,,,,,,,,,,,,,,,,
n,??????,,,"??????, ???? ???? ?? ???? ?? ?? ????? ???????? ?? ??????? ????? ??? ?? ?? ??? ???? ??? ??? ?? ???? ???? ???? ?? ??? ????? ??? ???? ??? ??? ??? ?? ?? ??? ??? ? ???? ?? ???????? ?? ????? ??? ???? ????, ??? ?????? ?? ????? ????? ???????? ?? ???? ?? ???? ????? ?? ??? ????? ???? ?? ?????? ?? ???? ???? ????? ?? ???? ???? ? ???? ?? ??? ?????? ?? ????? ??????? ???? ???? (?????? ??? ?? ???? ?? ???? ?? ??? ?? ?????)",,,,,,,,,,,,,,,,,,,,,,,,
n,????????,,,???????? ????? ????? ??? ?? ????? ??? ??? ??? ??? ??? ???? ??????? ?? ????? ????? ????,,,,,,,,,,,,,,,,,,,,,,,,
n,???????? ,,,????????  ??????? ?? ????? ???? ??? ???? ?????? 539 ??? ????? ??? ??? ?? ???????? ?? ??????? ?? ???? ??????? ??? (???????? ??? ?? ???? ?? ??? ???? ?? ????? ???? ???),,,,,,,,,,,,,,,,,,,,,,,,
n,????????? ,,,"?????????  ????? ???? ???? ?? ???? 2000 ???? ???? ???? ?? ? ????????? ????? ?? ???? ??????? ??? ???? ???? ?? ? ?? ??????, ????????? ??????? ?? ???? ??????? ??? ?? ?? ?? ?????? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ?? ??????? ???????? ?? ??? ???? ??? ?? ??? ???, ????? ???? ??? ?? ??? ????? ?? ????, ????? ???? ?? ???????? ?? ?? ?? ????? ?",,,,,,,,,,,,,,,,,,,,,,,,
n,??????,,,"???? ????? ?? ??? ?????? ??? ???? ??????? ?? ??? ???? ?? ???? ?? ??? ?? ??? ???? ?? ? ???? 5:2 ?? ?????????? ?? ?? ?? ??????? ?? ?? ???? ?????  ????, ?? ???? ?? ???? ??????? ??? ??? ??? (??????? ??? ?? ???? ?? ???? ?? ?? ?)",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"????? ?? ??? ???????? ????? ?? ????? ?????? ?? ???? ??? ????? ????? ?????? ????? ?? ???? ?? ????? ?? ?????? ?? ??? ?? ????? ?? ??? ??? ?? ????????? ??, ????? ???? ????? ?? ????? ??? ??? ?? ???? ??? ?? ??????, ?? ???? ???? ?? ???? ???? ?? ?????? ?? ????",,,,,,,,,,,,,,,,,,,,,,,,
n,???? ,,,???? ?? ????? ?? ?? ???? ??? ???? ?????? ?? ???? ??? ???????? ???? ??? ?????? ???? ?? ??? ????? ?? ?????? ?? ????-???? ?? ??? ??? ?? ???? ?? ???????? ???? ?? ????  ??? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
n,???????,,,"??????? ???? ?? ??? ?? ? ?? ?? ??????? ????  ?????? ???? ?? ?????? ???, ??????? ?? ????? ??? ??????? ?? ?? ???? ?????? ???? ??? ??? (??????? ??? ?? ???? ?? ""???? ?? ??? "")",,,,,,,,,,,,,,,,,,,,,,,,
n,???,,,"????? ???? ???? ?? ???? 4000 ???? ????, ??? ?? ????? ?? ???? ?? ??????? ?? ??? ??? ?? ????? ?? ? ??? ?? ???????? ?? ??? ???? ????, ?????? ????? ?? ????? ?? ???????? ?? ??? ?? ??????, ?? ??? ??????? ?? ??? ?? ???? ???? ??? ????? ?? ??? ???? ?","?????, ???, ?????",,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,????? ?? ???? ??????? ??? ?? ?? ?? ??????? ???? ?? ???? ?? ???????? ???? ?? ??? ???? ?? ? ?? ?? ????? ?? ?? ????? ?? ?? ????? ?? ?? ???????? ???????? ?? ???? ??????? ?? ???? ??? ? ???????? ?? ?? ????? ????? ?? ???? ??????? ?? ????? ??? ???? ??????? ?? ??? ???????? ?????,,,,,,,,,,,,,,,,,,,,,,,,
n,???? ,"?????, ????????",,"???? ?? ???? ?? ??? ?? ???? ???????? ?? ??????? ?? ????? ?? ???? ???????? ????? ?? ??? ???? ?? ???? ???? ??? ???? ?? ??????? ??? ??????? ?? ???? ?? ???? ??, ???? ?? ?? ?????? ?? ????????? ??? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,???? ,"????,????, ?????, ??????,",,???? ?? ??? ?? ????? ?? ?? ??? ?? ??? ???? ???????? ?????? ?? ??????/???????? ?? ???? ??? ????? ?? ??? ???? ???? ?????? ?? ????? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
n,,???????,,"??????? ?? ????? ?? ??? ??? ???? ?? ???? ????? ?? ??? ????? ?? ??? ??????? ???, ?? ????  ??????/???? ???? ?? ?????? ??? ??? ??? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,???????,???????????,,"??????? ????? ???? ??? ?? ?? ???? ?????? ??? ??? ?? ???? ?? ?????????? ??? ??, ???? ???? ?? ??? ?????????? ??? ????? ?? ??????? ??? ?? ????? ?????? ???? ??? ?? ??????????? ?? ???? ???? (????????? ?? ??? 18)?",,,,,,,,,,,,,,,,,,,,,,,,
n,?????????? ,,,"?????????? ?? ???? ???? ?? ??????? ?? ????? ????? ?? ????????? ?? ??? ????? ?? ???? ??? ?? ????????? ???? ?? ??? ???? ?? ?????? ?? ??? ??? ? ?? ?????????? ?? ??????? ?? ??????? ?? ???? ?? ???? ?? ???? ??? ????? ????, ?? ?? ???? ???-????? ????? ?? ??????? ????? ?? ??? (?????????? ??? ?? ???? ???? ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,??????,,,?????? ?? ?????-????? ??? ????? ?????? ?????? ?? ???? ?????? ????? ??? ?? ?? ?? ? ?? ?????? ??????? ?? ??????? ??? ??? ?? ? ?????? ?? ??? ???? ???? ??????? ?? ????? ???? ???? ????? ??? ? ???? ?? ??????? ?? ??? ????? ??? ??? ?? ????? ??? ?? ?,,,,,,,,,,,,,,,,,,,,,,,,
n,?????????,,," ????????? ?? ???? ??????? ?? ?? ??????? ?? ????? ?? ??????? ?? ???? ?? ???????? ?? ??????? ??? ???? ??? ???? ?? ? ???? ????????? ?? ???? ?? ???????? ?? ????? ?? ???? ????, ?? ??????? ??????? ??? ???, ??? ?? ?? ?? ???????? ???? ?? ??? ??? ???? ?? ??? ???? ??? ???????? ?? ????????? ?? ????? ?? ???? ??????, ?? ??? ????????? ?? ?????? ?????? (????????? ??? ?? ???? ?? ""???????? ???? ????????? ??""?)",,,,,,,,,,,,,,,,,,,,,,,,
n,,,,"?????? ?????? ????????? ?? ???? ???? ??, 550-486 ?.??. ???? ????????? ?? ??????? ??? 539 ?.??. ??? ??????? ?? ???? ??????? ??? (?????? ??? ?? ???? ?? ?? ?????? ???? ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,,,Dawuda (W from Arabic),"??????? ?? ????? ???? ????, ???? ?? ???? 800 ??? ???? ???? ??? ?? ?? ?????? ????? ?? ????? ?? ??? ?????? ?? ??? ??? ?????? ??????? ??? ???? ????? ?? ??? ?? ????, ?????? ?? ??? ????? ??? ??? ?? ?? ???? ???? ???? ???? ???? ??? ???????? ?? ????? ?????? ???, ?? ???????? ?? ???? ???? ???? ?? ???? ???? ????? ??????? ?? ???? ??????? ???? ???? ???? ?? ???? (?????) ??? (???? ??? ?? ???? ?? ??????)",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ????????? ?? ??????? ?? ????? ?? ???????? ??????????? (????? ???????????) ??? ???? ?????? ??, ????? ?? ????? ?? ????? ???? ????? ?? ???? ?? ??????? ????? ???? ?? ???? ????? (????? ??? ?? ???? ""????????"" ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ??? ?? ?? ????????? ???: (1) ?????? ?? ???, ?? ????? ?? ??? ?? ??, ?? (2) ??????????? ?? ?? ???? ????? ?????? ???? ??????? ?? ???? ?????? (????? ??? ?? ???? ""??????????"" ?? )",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ?? ??????? ?????? ?? ????? ?????? ?? ????? ???? ??? (????? ??? ?? ???? ""?????"" ?? )",,,,,,,,,,,,,,,,,,,,,,,,
n,???????????,,,??????????? ??? ?? ?? ??????? ??? (1) ?? ?????? ??? ?? ?? ????? ?? ?? ??????? ???? ?? ???? ?? ???? ???? ??? ???? ??? ?? ????? ??? ????? ?? ????? ?????? ???? ????? ?? (2) ????? ?? ????? ?? ????? ????? ????????? ?? (3 ??????? 1)?,,,,,,,,,,,,,,,,,,,,,,,,
n,,,,????? ?? ?????? ???? (??????) ?? ??? ?? ????? ???? ?????? ??? ?? ??? ???? ????,,,,,,,,,,,,,,,,,,,,,,,,
n,???,,,"??? ?? ?????? ????? ?? ??? ??, ?? ???? ???? ?????? ?????,???? ??? ?? ????? ???????? ?? ??????? ??? ???? ?? ???? ???????? ???? ??????? ?? ????? ???????? ?? ????? ??,",,,,,,,,,,,,,,,,,,,,,,,,
n,????,,,"???? ?? ??? ?? ???? ???? ?? ???? ??????? ?? ????? ?? ?? ?? ?? ??? ????? ??? ???? ??????? ?? ???? ???? ?? ?? ??????? ?? ????? ?? ?? ??? ???? ?? ????""???"" ?? ?",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,?????????,Misra (W from Arabic),"?????, ??????? ?? ?????? ??? ????? ?? ??? ??? ???????? ??? ?? ?????? ?? ????? ??? ??? ???? ?? ????? ?? ??? ????? ?? ??????? ?????? ?? ??????? ?? ???? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,????????,,,"????????, ????? ?? ??? ??? ?? ?? ???????? ?? ?? ???? ??? ??? ??? ?? ??? ?? ?? ???? ???? ?????? ?? ??? (???????? ??? ?? ???? ?? ""???? ???????? ???? ???"")",,,,,,,,,,,,,,,,,,,,,,,,
n,???,,,"??????? ??? ?????? ???? ?? ????, ??? ???? ??? ????? ?? ???? ??? ???? ??????????? ????? ?? ????-???? ???? ?? ???? ????? ???? ?? ????, ??????? ???? ???? ???? ?????? ??? (??? ??? ?? ???? ?? ""???? ?????????"")",,,,,,,,,,,,,,,,,,,,,,,,
n,???????? ,,Ilyass (W),"???????? ???? ???? ?? ???? 800 ???? ???? ???? ??? ?? ???????? ?? ?? ????????????? ??, ????? ?????????? ?? ????? ???? ?? ??????? ??? ?????????? ???? ???? ??? ????? ?? ??????? (????? ?? ?????? ???? ?? ?? ???????? ?? ???? ????? ???? ???? ?? ??????? ?? ??? ???? ????? ?? ?????? ?? ??? ????? ?? ????) (??????? ???????? ???? ???? ?? ?????? ??? ???????? ???? ???) (???????? ??? ?? ???? ?? ""????? ?? ???????? ???"")",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,Alyaasa (W),????? ???? ?? ???? 800 ???? ???? ???? ??? ?? ??????????? ???????? ?????? ??????? ???????? ?? ?? ??????????? ??? ????? ?? ???????? ?? ?? ???? ??????? ??? ???,,,,,,,,,,,,,,,,,,,,,,,,
n,???????,,,"??????? ??? ?? ?? ????? ??? ???????, ????? ?? ??? ?? ??????????? ????? ?? ???? ??? (?????? ??? ?? ???? ?? ""????? ?????? ????"")",,,,,,,,,,,,,,,,,,,,,,,,
n,??????,???????? ,,"??????, ????? ????? ??? ?????? ?? ?????? ?? ???? ??? ?? ???? ????? ?? ?? ????????? ???? ??? ?? ??????? ???? ??? ??? ???? ???????? ?? ?? ???? ????? ????????????? ??? ???? ?? ?? ??????? ?? ????? ???????? ?? ?? ???? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,??????,,,"?????? ????? ?? ?? ??????? ??? ???? ????? ??? ?????? ??????? ?? ?? ????? ?? ?????? ???? (?????? ??? ?? ???? ?? ""??????"")",,,,,,,,,,,,,,,,,,,,,,,,
n,?????????,?????????,,"????????? ??? ???????? ??????? ?? ???????? ?? ???? ???? ??, ?? ???? ???? ?? ???? 300 ??? ???? ??? ???????? ?????? ?? ????? ?? ???? ?? ?? ?? ???? ??? ???? ??? ???? ?? ???? ???? ??????",,,,,,,,,,,,,,,,,,,,,,,,
n,????,,Esawu (W),"????, ???? ???? ?? ???? 1900 ???? ???? ??? ??????? ?? ????? ????? ?? ??????? ????? ?? ????? ??? ???? ?? ????? ??? ????, ?? ???? ????? ??,???? ????????????? ???? ??????? ?? ?????? ???? ??? ????? ?? ??? ????? (????? ?? ????? ???????? ?? ???? ?? ????? ????? ???????)",,,,,,,,,,,,,,,,,,,,,,,,
n,?????? ,,,"?????? ?? ????? ???? ?? ????? ????-???? ???? ????? ??? ??????? ?? ???? ??? ?????? ???? ???????? ?????? ?????? ?? ???? ?? ???? ???? ???? ?? ???, ???? ?? ???????? ?? ?????? ?? ?????? (?????? ??? ?? ???? ?? ""????""? ???? ????? ??? ?????? ?? ????? ???? ?? ""????? ???"" ?????? ??????? ?? ????? ???? )",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,Awa (W from Arabic),"?????,???? ???? ?? ???? 4000 ??? ???? ??? ????? ??? ?? ????? ?? ?? ??? ???????? ?? ???? ??? ??? ?? ????? ?? ??? ?? ????? ?? ??????, ?? ???????? ???????? ?? ????? ?? ??????? ????? ?? ??, ??? ?????? ?? ??? ???? ? ??? ??? ?? ?????? ????? ?? ???? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,???????,,,"???????, ??? 52 ?? 60 ?? ??? ??????? ?? ???? ???????? ??? ?? ?????? ???? ???? ?? ????, ???? ????? ?? ??????? ?? ??? ??? ?? ??? ?? ???? ?? ??? ?? ???? ????? ?? ???????? ?? ????? ?? ???? ??? ?????? ??? ???? ?? ?? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
n,?????? ,,,???  62 ??? ?????? ?? ??????? ?? ??? ??????? ?? ???? ???????? ???? ???? ????? ?? ??????? ?? ??????? ??? ?? ?? ????? ?? ?? ???? ????? ?? ??? ?? ?????? ???? ?? ??? ????? ?? ??? ???? ??? ?????,,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"?????, ???? ??? ?? ??? ?? ?? ??????? ?? ???? ???? ?? ???-????? ??? ???? ?? ?? ???? ?? ???? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,,,,"????, ??????? ?? ?????? ??? ??? ?? ??????? ?? ?? ""???? ?? ???"" ???? ?? ???? ???? ??? ?? ????? ??? ??? ?? ??? ??? ???? ???? ??????? ??? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
n,,,,"?????, ??????????? ????? ?? ?? ???? ??? ?? ??? ???? ?? ??????? ??????? ??, ???? ????? ?? ???? ?? ??? ???? ??, ????? ?????? ??? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,????,?????????,,"?? ????? ?? ???????? ???? ?? ?????? ?? ??? ??, ?? ???? ???? ?? ?? ?????????? ??? ??? (????????? ?? ????? ?? ???? ???? ???? ??? ????? ?????? ?? ???? ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,????,?????????,,"?????????, ???? ??? ?? ????? ??? ??, ????????? ????? ?? ???? ???? ?? ??? ????? ??????? ???? ?? ???, ???? ?? ???? ?? ???? ?? ?????? ???? ??? ??????? ???????? ???????? ?? ????? ??? ?? ??, ?? ????????? ?? ?????? ???? ?? ?? ?? ???? ??? ????? ??????? ?? ??, ?????? ?? ?????? ??? ????? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"????? ???? ???? ?? ???? 1200 ???? ???? ??? ?? ?? ????? ?? ?? ?? ???? ?????? ???? ?? ????? ?? ???? ???? ?? ??????? ???? ?? ???, ??????????? ?? ???? ?? ????????? ?? ???? (???????? ?? ?? ???? ???? ?? ???? ??? ???? ?? ?? ??? ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"?????, ???? ?? ??? ?? ??? ?? ???? ??????? ?? ????? ??? ?? ???? ?? ????? ???? ??? ???? ?? ????? ???? ????? ?? ?? ???????? ?? ??? ???? ?? ???? ?? ?? ???? ?? ???? (???? ???? ?? ???? ?? ???? 2000 ??? ????)?",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"????? ????? ?? ?? ??? ??? ????? ?? ???????? ??? ????? ??? ?? ???? ???? ???? ?? ???? 350 ??? ????, ????? ?? ??????? ?? ?? ???? ????? ?? ???? ??????? ?? ??? ????? ?? ????????? ????? ?? ????? ?? ?????? ???? ????? ?? ????? ????? ? ?? ???? ?? ???????? ?????? ??? ???? ?? ???? ?????? ?????? ???? ??, ??????? ?? ??? ?? ???????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"???? ???? ?? ???? 2000 ??? ????, ????? ???? ??? ?? ??????? ?? ????? ???? ?? ?? ??? ?? ???? ??? ?? ???? ?? ??? ?? ??? ????? ???? ??? ??, ?? ???? ??????? ?? ????? ?? ??? ???? ?? ??? ???, ?? ????? ?? ?? ????? ?? ???? ???? ????? ??? ??????? ??? ???? (????? ??????? ?? ????? ???? ?? ???? ???????? ?? ???? ?? ??????? ?? ???? ?? ???? ???? ??? ???? ??? ???, ???? ?? ??????? ?? ?? ????? ?? ???? ???? ????? ??? ????? ??? ???? ????? ??? ????? ?? ????? ???? ???????? ?? ???? ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"?????, ??????? ?? ???? ???? ???? ?????????? ???? ???? ?? ???? ??? ?? ?????? ???? ??????? ?? ??? ???? ??????? ?????, ?? ????? ?? ??????? ?? ?????? ????????? ?? ??? ???????? ?? ??? ????? ?? ????? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"?????, ??????? ?? ??-????? ??? ?? ?? ???? ???? ??? ????? ?? ????????? ???? ??, ?? ?? ???? ??? ????? ???? ??? ???? ????? ??? ?? ?? ????? ?? ???? ???? ?? ??????? ?? ??????????? ???? (????? ??? ?? ???? ?? ""???????""?)",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,????? ?? ??????? ???? ?? ????? ???? ?? ???????? ?? ?????? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
