,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts
n,अदोनिया,,,"अदोनियाह राजा दाऊदका कान्छा छोराहरू मध्ये एक थिए। जब दाऊद वृद्ध भए, अदोनियाहले राजा बन्ने प्रयास गरे, तर दाऊदले सोलोमनलाई राजा बनाउनुपर्ने घोषणा गरे। अदोनियाह नामको अर्थ हो, मेरा प्रभु परमप्रभु हुनुहुन्छ।",,,GC 07-Feb-19,
n,अदोनि-सेदेक,,,.अदोनी-सिदेक यरूशलेमका कनानी राजा थिए जसलाई यहोशू र इस्राएलीहरूले लामो युद्धपछि कब्जा गरेर मारे।,,,,GC 7/7/2019
t,सहमत्ती,सहमती,"binding talk;
promise how to act;
his words were not different from (were the same as) the other’s words (G); ",".जब दुई व्यक्ति वा देशहरूले एकअर्कालाई सहयोग गर्ने वाचा गर्छन्, उनीहरूले के गर्ने भनेर बताउने सम्झौता बोल्छन् वा लेख्छन्।","करार, प्रतिज्ञा",binding talk; promise how to act,GC 08-Feb-2019,
n,अग्रिप्पा,,,".राजा हेरोदका नाति अग्रिप्पा ""यहूदियाका राजा"" भनिने अन्तिम व्यक्ति थिए। उनले रोमन अधिकारअन्तर्गत ४१ देखि ४४ वर्षको बीचमा शासन गरे। एक पटक उनी सिजेरियामा पावलको कुरा सुन्न आएका थिए।",,,,GC 7/7/2019
n,अहिया,,," धेरै पुरुषहरूको नाम अहियाह राखिएको थियो। एकजना उत्तरी इस्राएलका अगमवक्ता, अर्का राजा र अर्का यरूशलेमका पुजारी थिए। (अहियाह नामको अर्थ प्रभुको भाइ हो।",,,GC 19-Feb-2019,
n,ऐ,,,ऐ मूर्तिपूजक देवताहरूको पूजा गर्ने मानिसहरूले भरिएको कनानी सहर थियो। परमेश्वरले यहोशूलाई एउटा योजना प्रकट गर्नुभयो जसले इस्राएली सेनालाई ऐ कब्जा गर्न र यसलाई परमेश्वरको बलिदानको रूपमा नष्ट गर्न मद्दत गऱ्यो।,,,GC 07-Feb-19,
t,अलाबास्टर,,which was made of stone (R), अलाबास्टर एक नरम प्रकारको वा चट्टान हो जसबाट मानिसहरूले बोतल र जारहरू बनाउन सक्छन्।,,,"Some call this 'soap stone.' In careful English, rock = material, and stone = clump of rock.",
t,सन्धि,"सन्धिहरु, मित्र, गठबन्धन, गठबन्धन गरिएको","to become the friend of (G);
fight on the same side
","जब दुई देश वा सेना शत्रु विरुद्ध युद्धमा जान सहमत हुन्छन्, तिनीहरू गठबन्धनमा हुन्छन्।",,fight on the same side,GC 08-Feb-2019,
t,सुघन्धित काठ,सुघन्धित काठ,"perfume (W);
one thing which smells good which is called aalo (R)","सुघन्धित काठको बोटबिरुवामा रस हुन्छ, जुन छालाको क्रीम वा औषधि बनाउन प्रयोग गरिन्छ।
एलो काठबाट निस्कने मीठो गन्धयुक्त रस हो, जसलाई अत्तर बनाउन प्रयोग गरिन्छ।",,"Aloe plants have sap, which is used to make skin cream or medicine.",Usage will be evident in each context.,
t,अल्फा,,"first; beginning (P);
Alpa (K)","अल्फा ग्रीक वर्णमालाको पहिलो अक्षर हो। यो ""ए"" जस्तो देखिन्छ। प्रकाशको पुस्तकले येशूलाई अल्फा भन्छ, किनकि उहाँ परमेश्वर हुनुहुन्छ जसले सबै असल चीजहरू सृष्टि गर्नुभयो (जसले पहिले सुरु गर्नुभयो)।",ओमेगा,,,
t,वेदी,वेदीहरु,"sacrifice table/platform;
slicing place;
place for offering (something);
platform of cooking gift/offering (R); 
where sacrifices are made (P, W);","वेदी भनेको ढुङ्गा वा धातुको (स्ट्याक्ड) बनेको टेबल वा खरानी प्लेटफर्म हो, जसमा मानिसहरूले परमेश्वरलाई बलिदान चढाउँछन्। परमेश्वरले इस्राएललाई उनीहरूको उपासनाको तम्बुमा र पछि यरूशलेमको मन्दिरमा वेदी बनाउन आदेश दिनुभयो।",",वलिदान
 आराधना
",,"Refer to encyclopedias for the history of altars, to anthropology for the pagan use of altars, and to church tradition for ecclesial use of altars. Believers have an altar in heaven: Jesus.",
t,आमेन   ,,"amin; may it be (P, W);
it is true!;
aamen (R)","आमेन एउटा हिब्रू शब्द हो जसको अर्थ हो, यो सत्य हो, म यसलाई विश्वास गर्छु, वा त्यसो होस्।",,,Good as is.,
n,अम्मोन,"अम्मोनहरु, अम्मोनी",,अम्मोन अब्राहामका भतिजा लोतका छोरा थिए। लोतकी छोरीले अम्मोनलाई रक्सी पिउन लगाएपछि उनीसँग सुतिरहेकी थिइन्। अम्मोनका सन्तानहरू अम्मोनीहरू भए जो कहिलेकाहीँ इस्राएलका शत्रु थिए। तिनीहरूले मूर्तिको पूजा गर्थे।,,,GC 07-Feb-19,
n,अमोन,,, अम्नोन राजा दाऊदको पहिलो छोरा थिए। अम्नोनले दाऊदकी छोरी तामारलाई बलात्कार गरेपछि उनका भाइ अब्शालोमले अम्नोनलाई मारे। (नाम अम्नोन मीन्ड फेथफुल।),,,GC 08-Mar-2019,
n,हननिया,,,नयाँ नियममा तिनजना मानिसहरूको नाम हननियास राखिएको थियोः (१) यरूशलेममा एक इसाई जसले परमेश्वरलाई झूट बोल्दा मरे; (२) दमास्कसमा एक इसाई जसले शाऊललाई बप्तिस्मा दिए; (३) र यरूशलेममा एक प्रधान पुजारी जसले येशूका प्रेरितहरूको विरोध गरे। (हननयास नामको अर्थ परमप्रभुले जवाफ दिनुहुन्छ।,,,GC 19-Feb-2019,
n,अन्द्रियास,,,अन्द्रियास पत्रुसका भाइ थिए। तिनीहरू दुवै येशूका १२ प्रेरितहरूको अंश बने। (अन्द्रियास नामको अर्थ बहादुरी हो।),,,GC 08-Feb-2019,
t,स्वर्गदूत,स्वर्गदूतहरु,"spirit messenger obedient to God (whom God sent);
leg/messenger person from God/above/heaven;
one from God's living place (G);
ensel (K); God's helper (P); malaka (W from arabic)","एन्जेल एउटा ग्रिक शब्द हो जसको अर्थ सन्देशवाहक हो। जब परमेश्वरले मानिसहरूका लागि सन्देशको साथ आत्मा पठाउँनुहुन्छ, यी मानव जस्तो देखिन्छ र मानव भाषा बोल्न सक्छ। दुष्ट आत्माहरू कहिलेकाहीँ स्वर्गदूतका रूपमा देखा पर्छन्। ग्रीकमा एन्जेल शब्दले काम वा काम वा भूमिकालाई वर्णन गर्दछ, कुनै प्रकारको प्राणी होइन।","demon,दुष्ट आत्मा
prophet",arabic ref.,"Angels remain not a kind of creature, but a job description.",
t,अभिशेक,"अभिशेकगर्नु, अभिशेक गरिएको, अभिशेक गरिदै","to pour olive oil on one to make him king, chief, true chief (G);
",अभिषेकको अर्थ कसैलाई नियुक्त गर्नु वा छनौट गर्नु वा तिनीहरूमा तेल खन्याएर सार्वजनिक रूपमा नियुक्त गर्नु हो।,,,,
n,अप्पोलस,,,"अपोलोस अलेक्जान्ड्रिया, मिश्रका एक यहूदी थिए। वक्तृत्वपूर्वक बोल्ने व्यक्तिको रूपमा, उनी हिब्रू धर्मशास्त्रको अर्थ बुझ्न सक्षम थिए, त्यसैले ग्रीक-भाषी शहरहरूमा चिर्स्टियनहरूलाई सिकाउन सक्षम थिए।",,,,GC 7/7/2019
t,प्रेरित,प्रेरितहरु,"sent one/person;
one that Christ sends (G);
runner (W);
person for sending from a place (person sent on a mission) (D);
Christian leader chosen by God;
first Christian leaders; 
aapostolo (R)",एपोस्टल एउटा ग्रिक शब्द हो जसको अर्थ 'अधिकारका साथ पठाइएको' हो। परमेश्वरले येशूलाई आफ्नो प्रेषितका रूपमा संसारमा पठाउनुभयो। येशूले १२जना प्रेरितहरू चुन्नुभयो जसलाई उनले अरूलाई आफ्नो बारेमा बताउन पठाए। मण्डलीहरूले नयाँ मण्डलीहरू सुरु गर्न प्रेरितहरू भनिने पुरुष र महिलाहरूलाई पनि पठाए।,"angel,स्वर्ग
disciple,चेला
prophet अगमवत्ता",,"Here is not the place to argue for or against Mattias, nor whether Paul be the real 12th apostle. Interestingly, in Acts 13, it was elders who sent apostles, and in 14 apostles who appointed elders. So it would seem problematic to argue for either kind of worker to have more authority than another. ",
n,अक्किला,,," अक्विला प्रिस्किल्लाका पति थिए। तिनीहरू रोमका यहूदीहरू थिए जसले ग्रीस र सिरियामा चर्चहरू रोप्न पावललाई सहयोग गरे। (अक्विला नामको अर्थ ""ईगल"" हो।)",Priscilla प्रिस्किला,,,GC 7/7/2019
t,अरियोपागोस,,"place of meeting which is called Areoopagus (K);
meeting place called Areopugas (P);",एरियोपागस ग्रीसको एथेन्समा रहेको पाहाडको नाम हो। शिक्षक र सहरका नेताहरू त्यस पाहाडमा भेट्ने गर्थे। तिनीहरूको भेटलाई एरियोपागस पनि भनिन्थ्यो।,,,,
t,साक्षीको सन्दुक,करार बाकस,"box of agreement (W);
box of agreement (tying) (R);
box for covenant/promise;
covenant box; 
sacred chest; the box in which the first writing of the power was kept (P);","करारको चाप सुनले ढाकिएको काठको बाकस वा छाती थियो। यसको भित्र ढुङ्गाका पाटीहरू थिए, जसमा परमेश्वरले इस्राएलसँग करार वा सम्झौता गर्दा आफ्ना दस आज्ञाहरू लेखेका थिए।",,"I would rather not use present tense, as then people would assume that the box is to be seen somewhere. If the article proves to be true, maybe then ok. But as Jesus made a new covenant with us, arc of the Covenant should not be emphasized.  (Hilkka)","Just today, a news article appeared, reporting that the Ark of the Covenant may actually reside in the Church of Saint Mary at Axum, Ethiopia. Since the ark was never reported to have been destroyed, we can speak of it in the present tense.",
n,अर्तक्षत्र,,,ईसा पूर्व ४६५-४२४ फारसी साम्राज्य को छठौँ राजा थिए। उनी डेरियसका नाति र जेर्क्ससका छोरा थिए। (आर्टाजर्क्सिस नामको अर्थ उसले सत्यसँग शासन गर्छ।),,,GC 08-Mar-2019,
n,आर्तेमिस,,,"आर्तिमस, जसलाई डायना पनि भनिन्छ, एक ग्रिक र रोमन देवीको नाम हो जसको मूर्तिमा धेरै मानिसहरूले एसिया भनिने प्रान्तमा पूजा गर्थे।",Diana,,,
n,असनत,,,दुई जना महिलाको नाम आसेनाथ थियो। एउटा योसेफकी मिस्री पत्नी र अर्को याकूबकी छोरी दिनाकी छोरी थिइन्।,,,GC 23-Feb-2019,
n,अश्तोरेत,,," अष्तोरेत मूर्तिपूजक देशहरूमा अस्टार्ट नामक देवी (महिला देवता/देवता) को पूजा गर्न प्रयोग गरिने कुँदिएको मूर्ति थियो। केही इस्राएलीहरूले अष्तोरेतका मूर्तिहरू बनाएर प्रभुको विरुद्धमा पाप गरे, जसलाई उनीहरूले प्रायः बाल नामक देवता (पुरुष देवता) का मूर्तिहरू छेउमा राख्थे।",,,GC 19-Feb-2019,
t,सभा,"भेलाहुनु, सभा, सभाहुदै","gathering together of (G);
","जहाँ पनि इसाईहरू येशूको सम्मान गर्न र एकअर्कालाई प्रेम देखाउन भेला हुन्छन्, तिनीहरू अस्थायी भेला वा स्थायी सभा बनाउँछन्।","saintsसन्तहरु, church मण्डली",,GC 15-Feb-2019,
n,अश्शूर,"अश्शूरी,अश्शूरहरु",,अश्शूरी एक शक्तिशाली राष्ट्र थियो जसले ख्रीष्टको अघि सन् ७३८ मा उत्तरी इस्राएलमाथि आक्रमण गऱ्यो। अश्शूरी सिपाहीहरूले आफ्ना शत्रुहरूलाई क्रूरतापूर्वक व्यवहार गरे।,,,GC 07-Feb-19,
n,अतल्याह,,,अथलिया एक दुष्ट रानी थिइन् जसले योआशलाई मार्न र उनलाई राजा हुनबाट रोक्न खोजेकी थिइन्। उनी राजा ओमरीकी छोरी वा नातिनी थिइन्। उनले यहूदाका राजा योरामसँग विवाह गरिन्। उनको मृत्युपछि उनले उनका सबै छोराहरूलाई मार्ने प्रयास गरिन्।,,,GC 07-Feb-19,
t,संस्करण,,,1.0-Eng-2022-03   ,,,,
t,प्रतिलिपि अधिकार,अधीकारपत्र,," डाटाबेस रोबिन रेम्पेल द्वारा डिजाइन र संकलित। प्रतिलिपि अधिकार 2022, रोबिन रेम्पेल। यो क्रिएटिभ कमन्स BY-NC-SA 4.0 अन्तर्राष्ट्रिय इजाजतपत्र अन्तर्गत उपलब्ध छ।
अप्रकाशित फिर्ता अनुवाद (V-E) नमूना उदाहरणहरूको निम्न योगदानकर्ताहरूलाई स्वीकृति र धन्यवादको साथ। सबै गैर नाफामूलक, शैक्षिक उद्देश्यका लागि अनुमति वा उचित प्रयोगको साथ प्रयोग गरियो।
डासनच (डी) ब्याक अनुवाद प्रतिलिपि अधिकार 2019, सिल इन्टरनेसनलका लागि सु नेस (केन्या)।
कार्ल ह्यारिसन (ब्राजिल) for Guajajara (G) back translations copyright 2019 SIL International. पोर्तुगालीका लागि कार्ल ह्यारिसन (पी) ब्याक अनुवाद प्रतिलिपि अधिकार 2019 कार्ल ह्यारिसन।
रामोएना (आर) र कान्डास (के) का लागि रोबिन डेभिस (पपुवा न्यू गिनी) ब्याक अनुवाद प्रतिलिपि अधिकार 2019, एसआइएल इन्टरनेसनल।
गालेन कुराह (सेनेगल) for Wolof (W) back translations copyright 2019 WEC International and Galen Currah.
अर्थ टिप्पणीहरू र परिभाषाहरू प्रतिलिपि अधिकार 2019 Galen Currah, ThD। अनुमति लिएर प्रयोग गरिएको।
डेटाबेसको विशेषज्ञ समीक्षा र सहयोगी सम्पादकीय सुझावहरूका लागि सिल अनुवाद सल्लाहकार हिल्का आर्मिनेनलाई विशेष धन्यवाद।
यो Creative Commons Creative Commons BY-NC-SA 4.0 अन्तर्राष्ट्रिय इजाजतपत्र अन्तर्गत इजाजतपत्र प्राप्त छ।    
",,"The © symbol was not utilized in this doc because it does not present properly when the xlsx doc is converted to a csv file and read in the SP software.  Instead, we are simply using the word ""copyright"" in the place of the © symbol.",,
n,एथेन्स,एथेन्सवासीहरु,,,,,,GC 7/7/2019
n,बाल,"बालहरु, बा'ल",,"बाल एक दुष्ट देवताको नाम हो जसको मूर्तिमा धेरै राष्ट्रहरूले पूजा गर्थे। परमेश्वरले कहिलेकाहीँ इस्राएलीहरूलाई दण्ड दिनुपर्थ्यो, उनीहरूले उनलाई बालको उपासना गर्न त्यागेपछि।","बाल,बालजुबुल",,"Ba'al is very well known in cuneiform texts, a kind of international deity with many local idols.",
n,बेबिलोन,"बेबिलोनी, बेबिलोनीहरु, बेबिलोनका",,"बेबिलोन एउटा प्राचीन सहरको नाम हो, जुन येशूभन्दा लगभग ३००० वर्ष पहिले सुरु भएको थियो। बेबिलोनका राजाहरूले अन्य धेरै देशहरू जिते। जब बेबिलोनका राजाले इस्राएललाई कब्जा गरे, उनले धेरै इस्राएलीहरूलाई लगभग सत्तरी वर्षसम्म बेबिलोनमा बस्न नेतृत्व गरे। (पत्रुसलाई रोम बेबिलोन भनिन्छ, र प्रकाशको पुस्तकले बेबिलोन भनिने धेरै दुष्ट ठाउँको वर्णन गर्दछ।) बेबिलोन धेरै नराम्रो व्यवहार गर्ने र परमेश्वरको अवज्ञा गर्ने र विद्रोह गर्ने मानिसहरूले भरिएको सहर थियो। तसर्थ, यसलाई कहिलेकाहीँ एउटा दुष्ट ठाउँलाई सङ्केत गर्न प्रतीकात्मक रूपमा प्रयोग गरिन्छ जसलाई परमेश्वरले ऐतिहासिक सहरलाई नष्ट गरेजस्तै नष्ट गरिदिनेछन्।",,,"Actually, 70 years serving the kings of Babylon, part of which was spent in captivity.",
n,बालाम,,,".बालाम येशूभन्दा लगभग १५०० वर्ष पहिले बाँचेका थिए। बालाम एक मूर्तिपूजक अगमवक्ता थिए जसले पैसा प्राप्त गर्न, परमेश्वरका लागि बोल्ने नाटक गरे। परमेश्वरले इस्राएलका मानिसहरूलाई बालामलाई मार्न आदेश दिए। एक पटक परमेश्वरले बालामसँग उनको गधाद्वारा कुरा गर्नुभयो।",,,"In that era, pagan prophets not only spoke for the gods, but were believed to have persuasive power over gods. Thus, Balaam sold his services as one who could manipulate Yahweh.",
t,बप्तिस्मा,"बप्तिस्मा,बप्तिस्मा गरिएको, बप्तिस्मा लिनु,बप्तिस्मा दिने मानिस","to pass (a person) under/through water (D);
dip in water (W);
(to symbolize death to an old life and the start of a new life);
initiate / initiation;
cause to have oneself bathed (becoming followers of Jesus the True Chief)(G);
baptais (K);",बप्तिस्मा एउटा ग्रिक शब्द हो जसको अर्थ पानीमा धुनु वा पानीमा डुबाउनु हो। यहुदीहरू र केही मूर्तिपूजकहरूले उनीहरूको पूजाको भागको रूपमा बप्तिस्मा दिन्छन्। मसीहा आउने पर्खाइमा रहेका यहुदीहरूलाई यूहन्नाले बप्तिस्मा दिए। येशूले आफ्ना प्रेरितहरूलाई बप्तिस्मा दिएर र सिकाएर चेला बनाउन आदेश दिनुभयो। इसाईहरूले येशूमा भरोसा राख्नेहरूलाई बप्तिस्मा दिन्छन्।,,,"A symbolic initiation in/with water that Jesus commanded for those who repent of their sins to become Christians. There are many ways in which to baptize. To dip under/ bury in water and bring back up/out to signify death to old life and resurrected to new life, a new identity. There are a series of baptisms in the Bible: God brought Noah through the water to start a new life after the judgment flood. God (via Moses) rescused Israel from their slavery in Egypt and brought them through the water of the big sea to start a new life trusting him in the wilderness. God (via Joshua) led the new generation of Israel through the Jordan River to begin a new life obeying God in a new land. John dipped people in the waters of the Jordan River who were repenting from their sins and getting prepared for Kingdom life. Jesus went down into the waters of the Jordan River to be baptized by John and came out the other side to go into the wilderness for 40 days to show that he was re-playing Israel as the new Israel but doing it rightly, faithfully, in full obedience to God. Jesus commanded people who believe in him to be put under water to show that they have died and been buried to their old life of rebelling against God and have been raised up to a new life with a new identity as God's children.",
n,बार्णाबास,,,"बर्णाबास यरूशलेममा पहिलो इसाईहरू मध्ये एक थिए। उनले पावललाई पहिलो प्रेरितहरूलाई भेट्न ल्याए, र पछि पावललाई शिष्य बनाउन एन्टिओक (सिरिया) ल्याए। उनी र पावल पनि नयाँ विश्वासीहरूको नयाँ चर्चहरू सुरु गर्ने मिसनमा सँगै गए। (बर्णाबास नामको अर्थ प्रोत्साहनको पुत्र हो)",,,GC 19-Feb-2019,
n,बाराक,,,"राजा हुनुअघि बाराक इस्राएलका चौथो न्यायकर्ता थिए। बाराकले इस्राएलीहरूलाई युद्धमा नेतृत्व गरे, उनीहरूका शत्रुहरूलाई पराजित गरे।",,,,
t,जैँ,,"दाना;
बाली (R)","जौ गहुँ जस्तै एक प्रकारको अन्न हो। गरिब मानिसहरू जौबाट रोटी बनाउँथे, किनभने जौको मूल्य गहुँभन्दा कम हुन्थ्यो।",,,,
n,बेथशेबा,,,"बेत्शेबा राजा दाऊदको सेनाका सिपाही ऊरियाकी सुन्दरी पत्नी थिइन्। उनले एकपटक बाहिर नुहाएकी थिइन् जहाँ राजा दाऊदले उनलाई नुहाएको देखेका थिए। पछि उनीहरू सँगै सुतिरहेका थिए। दाऊदले ऊरियालाई युद्धमा मार्न लगाए, त्यसपछि बत्शेबासँग विवाह गरे। परमेश्वरले दाऊदलाई उनका पापहरूका निम्ति दण्ड दिनुभयो र बत्शेबासँग उनको पहिलो सन्तानको मृत्यु गराउनुभयो। बत्शेबाका छोरा सोलोमन दाऊदपछि राजा भए। (बत्शेबा नामको अर्थ प्रतिज्ञा वा शपथकी छोरी हो।)",,,GC 07-Feb-19,
t,बियर,,जंगली जनावर … भालु (R),"भालु एउटा धेरै ठुलो, बलियो, कपाल भएको जनावर हो जुन जङ्गलमा बस्छ। भालुहरू खतरनाक हुन्छन्, तीखो दाँत र लामो पन्जा हुन्छन्, रुखहरू चढ्न सक्छन् र मानिसहरूलाई मार्न सक्छन्। भालुहरूले लगभग सबै खान्छन्। जब वयस्क भालु दुई खुट्टामा खडा हुन्छ, यो मानिसभन्दा अग्लो हुन्छ।",सिंह,,,
n,बालजिबुल,,,बाल्जोबुल दुष्ट देवता बालको अर्को नाम हो। केही मानिसहरू उनलाई दुष्ट आत्माहरूमाथि प्रमुख मान्छन्।,बाल,,,
t,वियर,,"fermented maioc juice, any drink that causes drunkenness (G);
",पकाएको अन्नबाट बनेको पेय जसमा थोरै मात्रामा मध्य हुन्छ। ," दाख, कडा पिय",,,
t,बुध्दि,बुध्दिमान,"intelligence from God;
thinking the same about things that God does (G);
knowledge/wisdom (R); 
the knowing well of things (G);
",ज्ञान भनेको सत्य र सही कुरा जान्नु र गर्नु हो। परमेश्वर सबै बुद्धिमान हुनुहुन्छ र उनले विश्वासका साथ उहाँलाई माग्ने सबैलाई बुद्धि दिन्छन्। (बुद्धि येशूको लागि एक इसाई उपाधि पनि हो।),"मुर्ख,  ज्ञान",,,
n,बेल्तसजर,,,बेल्शस्सर बेबिलोनलका अन्तिम राजा थिए। पर्सियालीहरूले बेबिलोन जितेपछि ईसापूर्व ५३९ मा उनको मृत्यु भयो। (बेल्शस्सर नामको अर्थ बेलले राजाको रक्षा गर्छ।),,,GC 08-Mar-2019,
n,बेन्जामिन,,,"बेन्यामिन येशूभन्दा लगभग २००० वर्ष पहिले बाँचेका थिए। बेन्यामिन याकूबका बाह्र छोराहरूमध्ये सबैभन्दा कान्छा थिए। यसरी, बेन्यामिन इस्राएलका बाह्र जातिहरू मध्ये एकका पुर्खाहरू थिए।",,,The term Jew (Judean) does not appear in the Hebrew Scripture until the time of the Babylonian captivity.,
n,बेथेल,,,"याकूबले लुज नामक सहर नजिकै परमेश्वरलाई भेटे, त्यसैले उनले सहरको नाम बेथेल राखे, जसको अर्थ परमेश्वरको घर वा मन्दिर हो।",,,GC 07-Feb-19,
n,बेथलेहेम,,,"धेरै सहरहरूको नाम बेथलेहेम राखिएको थियो। यरूशलेम नजिकैको सहरलाई दाऊदको सहर पनि भनिन्थ्यो। मिका ५:२ एक ठूलो नेता बेथलेहेम देखि आउन भनेर भविष्यवाणी, र येशूले बेथलेहेममा जन्मिएको थियो. (बेथलेहेमको अर्थ रोटीको घर हो।)",,,GC 07-Feb-19,
t,बाईबल,,"the Word of God (G); Paper of God (W)
","बाइबलको अर्थ पुस्तकहरूको पुस्तकालय, वा धेरै पुस्तकहरू (सँगै राखिएका) हो। पवित्र बाइबलमा पुराना र नयाँ नियमहरूका पुस्तकहरू छन्, जुन धेरै हजार वर्षको अवधिमा धेरै फरक व्यक्तिहरूद्वारा लेखिएका छन्, तर सबै परमेश्वरको आत्माबाट प्रेरित छन्।","चर्मपत्र, पुस्तक ",,GC 08-Feb-19,
t,आशिष,"आशिष,आशिषदिएको, आशिषहरु, आशिष गरिएको","(1) calling God's good onto (someone);
(2) coming/falling on (coming to someone's aid/help/support or showing grace to someone);
speak well / to say good things about (G); cause-blessed/fortunate (R); barke (W from Arabic)","आशीर्वादको अर्थ हो (१) अरूलाई दयालु शब्दहरू बोल्नु, (२) उनीहरूसँग राम्रो होस् भन्ने इच्छा राख्नु, (३) उनीहरूलाई राम्रो गर्नु, वा (४) उनीहरूलाई असल कुराहरू दिनु। परमेश्वरले हामीलाई आशीर्वाद दिनुहुन्छ, र हामी अरूलाई आशीर्वाद दिन्छौं।",श्राप,arabic ref.,,
